Format Version,1.23,Take Name,Take 2024-06-23 04.06.32 PM,Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2024-06-23 04.06.33.427 PM,Capture Start Frame,35234,Total Frames in Take,2001,Total Exported Frames,2001,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,,,,,,,,,,,,,,,,,,,
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,,,,,,,,,,,,,,,,,,,
,ID,574930B2D6312E11EF,574930B2D6312E11EF,574930B2D6312E11EF,,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,,,,,,,,,,,,,,,,,,,
127,1.27,-0.01179,0.004115,-0.003284,,,,,,,,,,,,,,,,,,,
128,1.28,-0.013699,0.005367,-0.002782,,,,,,,,,,,,,,,,,,,
129,1.29,-0.015698,0.006489,-0.00274,,,,,,,,,,,,,,,,,,,
130,1.3,-0.018126,0.007815,-0.002346,,,,,,,,,,,,,,,,,,,
131,1.31,-0.020455,0.009154,-0.002,,,,,,,,,,,,,,,,,,,
132,1.32,-0.023423,0.010543,-0.001793,,,,,,,,,,,,,,,,,,,
133,1.33,-0.026733,0.012222,-0.001227,,,,,,,,,,,,,,,,,,,
134,1.34,-0.030397,0.014011,-0.001161,,,,,,,,,,,,,,,,,,,
135,1.35,-0.034659,0.016006,-0.000708,,,,,,,,,,,,,,,,,,,
136,1.36,-0.039612,0.018072,-0.000398,,,,,,,,,,,,,,,,,,,
137,1.37,-0.045208,0.020397,1.2E-05,,,,,,,,,,,,,,,,,,,
138,1.38,-0.051188,0.023014,0.000528,,,,,,,,,,,,,,,,,,,
139,1.39,-0.057797,0.025989,0.001025,,,,,,,,,,,,,,,,,,,
140,1.4,-0.065266,0.029296,0.001747,,,,,,,,,,,,,,,,,,,
141,1.41,-0.07348,0.033212,0.002646,,,,,,,,,,,,,,,,,,,
142,1.42,-0.082067,0.037711,0.00348,,,,,,,,,,,,,,,,,,,
143,1.43,-0.091577,0.042498,0.003924,,,,,,,,,,,,,,,,,,,
144,1.44,-0.101912,0.04749,0.004728,,,,,,,,,,,,,,,,,,,
145,1.45,-0.113085,0.05216,0.004641,,,,,,,,,,,,,,,,,,,
146,1.46,-0.125384,0.056223,0.005257,,,,,,,,,,,,,,,,,,,
147,1.47,-0.138348,0.059769,0.005353,,,,,,,,,,,,,,,,,,,
148,1.48,-0.151032,0.064337,0.005431,,,,,,,,,,,,,,,,,,,
149,1.49,-0.164451,0.070104,0.004537,,,,,,,,,,,,,,,,,,,
150,1.5,-0.17866,0.076398,0.00384,,,,,,,,,,,,,,,,,,,
151,1.51,-0.193863,0.082837,0.002051,,,,,,,,,,,,,,,,,,,
152,1.52,-0.209781,0.088366,-0.000186,,,,,,,,,,,,,,,,,,,
153,1.53,-0.226253,0.092699,-0.002621,,,,,,,,,,,,,,,,,,,
154,1.54,-0.243313,0.09592,-0.004617,,,,,,,,,,,,,,,,,,,
155,1.55,-0.260669,0.098266,-0.006625,,,,,,,,,,,,,,,,,,,
156,1.56,-0.278323,0.099713,-0.00855,,,,,,,,,,,,,,,,,,,
157,1.57,-0.296152,0.100323,-0.009777,,,,,,,,,,,,,,,,,,,
158,1.58,-0.314485,0.100098,-0.010957,,,,,,,,,,,,,,,,,,,
159,1.59,-0.333175,0.099434,-0.011711,,,,,,,,,,,,,,,,,,,
160,1.6,-0.352338,0.09816,-0.013231,,,,,,,,,,,,,,,,,,,
